,Georgia,Switzerland,Colombia,Canada,Thailand,Denmark,Norway,South Korea,USA,Russia,Iceland,Qatar,Peru,New Zealand,Hong Kong,Hungary,China,Ireland,Spain,Greece,Argentina,Australia,Luxembourg,Uruguay,England,Italy,Mexico,Germany,Slovakia,Finland,Slovenia,Lithuania,Iran,Japan,Netherlands,Algeria,United Kingdom,Turkey,Nigeria,Cambodia,Israel,Czech Republic,Senegal,Portugal,Poland,Panama,Malaysia,Austria,South Africa,Kuwait,Latvia,Ecuador,Estonia,Democratic Republic of the Congo,Vietnam,Taiwan,Brazil,France,Nepal,Belarus,Korea,Pakistan,Singapore,Ghana,Saudi Arabia,Chile,Sweden,India,Belgium
Georgia,0,4283,5068,4837,5151,4866,967,4872,4994,5389,5445,1058,12,5122,5383,5164,5105,4847,5384,1079,5806,4581,4737,5334,5315,4628,1103,5557,5274,1098,5385,954,5418,7194,5081,5564,5315,1096,5120,525,5558,5540,5385,4604,7087,1079,4606,5799,533,528,1070,5077,1089,4773,17,529,5362,5166,5381,5122,4872,5806,4307,5061,5122,5123,5164,530,4834
Switzerland,4283,0,5268,4565,5335,955,4814,5233,1140,7156,7007,5028,4284,5470,7142,5356,1096,4580,5140,5084,7198,570,5116,5104,6476,4844,5067,7157,4860,5082,5141,4828,6979,5532,5250,5146,6476,5089,5471,4571,7158,5131,7153,539,5445,5072,4819,7186,4557,4588,5080,5219,5086,4482,4286,4582,7123,5355,7146,7118,5233,7193,446,5271,1087,7118,5357,4573,4560
Colombia,5068,5268,0,1076,116,5718,5419,7093,5315,5063,4167,5100,5067,6993,5048,125,5445,1067,570,5178,4563,4982,6935,543,4021,910,5117,4267,7142,5169,555,5452,4159,4564,225,7100,4021,5181,6979,4773,4270,7077,5054,5041,4505,5169,920,4551,4756,4794,5175,180,5177,1108,5069,4784,5033,146,5048,4802,7093,4555,5271,177,5476,4804,126,4770,1077
Canada,4837,4565,1076,0,1101,5115,5352,7188,4726,5804,5008,5088,4835,7155,5789,1110,4828,41,943,5166,5397,4244,7028,960,4788,546,5114,5121,7166,5164,968,5379,4997,4857,1155,7191,4788,5172,7145,4602,5125,7170,5795,4305,4797,5158,535,5385,4584,4625,5161,1054,5168,235,4837,4614,5772,1100,5792,5555,7188,5390,4583,1101,4853,5557,1110,4598,36
Thailand,5151,5335,116,1101,0,5785,5504,7172,5374,5111,4207,5183,5150,7069,5097,36,5506,1093,548,5260,4601,5043,7014,524,4065,950,5198,4303,7218,5251,526,5536,4197,4582,206,7173,4065,5263,7054,4855,4307,7150,5102,5103,4525,5250,958,4588,4837,4875,5258,197,5259,1125,5152,4865,5082,81,5097,4851,7172,4592,5337,152,5537,4853,36,4851,1104
Denmark,4866,955,5718,5115,5785,0,5255,4861,688,7172,7094,5505,4867,5081,7159,5807,542,5129,5564,5560,7215,1138,4762,5521,6500,5419,5540,7245,4348,5553,5561,5273,7067,5185,5681,4614,6500,5562,5083,5174,7245,4603,7170,1095,5102,5547,5395,7202,5160,5189,5558,5662,5561,5026,4870,5184,7141,5807,7163,7205,4861,7209,1043,5720,536,7204,5808,5177,5109
Norway,967,4814,5419,5352,5504,5255,0,4296,5393,4804,5027,539,969,4526,4801,5517,5515,5362,5769,519,5347,5134,4170,5710,4927,5118,558,5131,4831,519,5767,62,5001,7185,5414,5097,4927,518,4525,1092,5131,5075,4801,5154,7077,512,5098,5342,1100,1078,522,5426,517,5283,969,1082,4780,5519,4798,4563,4296,5349,4835,5408,5538,4564,5517,1100,5349
South Korea,4872,5233,7093,7188,7172,4861,4296,0,5029,4616,5302,4614,4875,536,4611,7193,5146,7199,7248,4630,5184,5555,188,7166,4816,7186,4606,5405,920,4600,7229,4325,5272,5799,7009,1087,4816,4614,551,5129,5401,1078,4621,5553,5702,4613,7167,5178,5124,5126,4640,7056,4618,7083,4876,5126,4602,7197,4613,4858,0,5184,5239,7072,5179,4855,7194,5136,7183
USA,4994,1140,5315,4726,5374,688,5393,5029,0,7002,6855,5598,4995,5202,6987,5398,429,4742,5134,5657,6973,1041,4924,5092,6253,5062,5626,7002,4522,5643,5123,5413,6821,4737,5268,4728,6253,5659,5189,5254,7001,4705,6999,1037,4651,5641,5036,6958,5242,5273,5656,5259,5655,4629,4998,5266,6970,5401,6987,7031,5029,6963,1091,5313,461,7031,5399,5256,4722
Russia,5389,7156,5063,5804,5111,7172,4804,4616,7002,0,1107,4589,5390,4278,35,5121,7170,5806,5413,4626,954,7201,4515,5332,1273,5567,4561,1102,5115,4595,5390,4848,1094,5170,4969,4868,1273,4609,4264,5176,1097,4855,17,7239,5098,4612,5564,961,5167,5177,4636,5054,4613,5736,5391,5172,53,5125,104,532,4616,965,7163,5030,7215,529,5122,5179,5801
